Resistivity;Udistance;UEddy
27,466;5,856916901;1,216801483
27,466;5,845071625;1,217483276
27,466;5,832235382;1,219262787
27,466;5,819538116;1,220284973
27,466;5,805367493;1,221987946
27,466;5,790239136;1,222869141
27,466;5,774948639;1,224765472
27,466;5,75880011;1,225571136
27,466;5,740409821;1,227289215
27,466;5,72202356;1,22949472
27,466;5,701336121;1,230868378
27,466;5,679433136;1,232717377
27,466;5,655666046;1,2344133
27,466;5,630486023;1,2363479
27,466;5,602747009;1,238685333
27,466;5,574859955;1,240870697
27,466;5,543633423;1,242962402
27,466;5,510228577;1,245164886
27,466;5,474570892;1,247475128
27,466;5,43505307;1,250009949
27,466;5,392239075;1,252726044
27,466;5,347778503;1,254973846
27,466;5,296788025;1,257910492
27,466;5,244056305;1,26092569
27,466;5,183876221;1,264214813
27,466;5,120757477;1,267545227
27,466;5,05179364;1,270633942
27,466;4,975934326;1,274184906
27,466;4,892778717;1,277463959
27,466;4,804791138;1,281196198
27,466;4,704147583;1,285443054
27,466;4,5970849;1,289842987
27,466;4,479838623;1,294317444
27,466;4,350939423;1,299203796
27,466;4,208834381;1,303840393
27,466;4,058576019;1,308799255
27,466;3,884542511;1,314507385
27,466;3,704613556;1,320135956
27,466;3,500365631;1,326266052
27,466;3,288502167;1,332875519
27,466;3,047355835;1,33986969
27,466;2,786940033;1,347300934
27,466;2,496100342;1,355342468
27,466;2,198903961;1,362909668
27,466;1,850941681;1,372393341
27,466;1,493488678;1,381303986
27,466;1,075143585;1,391142151
27,466;0,560211456;1,399284393
;;
9,632;5,830749939;1,28458905
9,632;5,819290375;1,28777243
9,632;5,805572937;1,29140094
9,632;5,791506042;1,29481897
9,632;5,776740234;1,298428345
9,632;5,762195984;1,301849396
9,632;5,74545932;1,30587973
9,632;5,728365143;1,310092346
9,632;5,707242645;1,314437897
9,632;5,687934906;1,318958679
9,632;5,665653259;1,323151154
9,632;5,641666626;1,328234894
9,632;5,616354675;1,333308563
9,632;5,590177643;1,338606812
9,632;5,559442566;1,344076263
9,632;5,529142548;1,349730011
9,632;5,494453674;1,355457275
9,632;5,458361938;1,361936829
9,632;5,418452362;1,36842041
9,632;5,376186218;1,375396454
9,632;5,329725586;1,382408752
9,632;5,279926483;1,389594269
9,632;5,224223877;1,397718384
9,632;5,164866577;1,405873718
9,632;5,101721649;1,414140839
9,632;5,030104156;1,42319046
9,632;4,954819885;1,432281372
9,632;4,870188904;1,441799286
9,632;4,779724915;1,452420959
9,632;4,679975647;1,463169525
